loan_id,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,purpose,addr_state,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_util,total_acc,issue_year,issue_month,loan_status,is_default,dti_bucket,income_bracket,loan_to_income,risk_tier,term_months
100000,20000,36 months,9.55,641.13,B,B5,4 years,MORTGAGE,35861.8,major_purchase,TX,18.37,3,1,13,0,0.1,18,2019,11,Fully Paid,0,Moderate (10-20%),Low (<40k),0.558,Low Risk,36
100001,30000,36 months,12.14,998.44,C,C2,2 years,RENT,51232.73,other,NY,3.62,0,0,6,1,68.0,24,2021,10,Fully Paid,0,Low (<10%),Lower-Middle (40-70k),0.586,Medium Risk,36
100002,18000,36 months,6.72,553.49,A,A4,1 year,MORTGAGE,45904.71,debt_consolidation,PA,15.64,0,2,23,0,56.8,32,2023,8,Fully Paid,0,Moderate (10-20%),Lower-Middle (40-70k),0.392,Low Risk,36
100003,10000,36 months,12.14,332.81,C,C4,4 years,MORTGAGE,64151.59,moving,WA,10.85,0,0,10,0,16.5,24,2019,3,Fully Paid,0,Moderate (10-20%),Lower-Middle (40-70k),0.156,Medium Risk,36
100004,15000,60 months,18.16,382.21,D,D3,1 year,RENT,72986.37,debt_consolidation,IL,34.0,1,1,4,0,63.8,15,2022,10,Charged Off,1,Very High (30%+),Upper-Middle (70-100k),0.206,Medium Risk,60
100005,12000,36 months,10.57,390.43,B,B3,6 years,MORTGAGE,60385.54,credit_card,FL,4.32,0,0,6,0,41.0,12,2020,2,Fully Paid,0,Low (<10%),Lower-Middle (40-70k),0.199,Low Risk,36
100006,12000,36 months,12.32,400.41,C,C1,6 years,OWN,83549.0,debt_consolidation,CA,12.97,0,0,2,0,35.3,21,2022,10,Fully Paid,0,Moderate (10-20%),Upper-Middle (70-100k),0.144,Medium Risk,36
100007,12000,60 months,9.97,254.79,B,B3,< 1 year,RENT,49297.98,debt_consolidation,OH,14.55,0,0,3,0,30.1,5,2019,5,Fully Paid,0,Moderate (10-20%),Lower-Middle (40-70k),0.243,Low Risk,60
100008,7500,36 months,9.72,241.02,B,B1,Unknown,RENT,90605.51,home_improvement,PA,9.51,0,0,23,0,81.6,33,2023,12,Fully Paid,0,Low (<10%),Upper-Middle (70-100k),0.083,Low Risk,36
100009,20000,36 months,17.84,721.44,D,D3,8 years,MORTGAGE,75990.98,debt_consolidation,MO,3.85,0,0,9,0,67.6,9,2020,10,Charged Off,1,Low (<10%),Upper-Middle (70-100k),0.263,Medium Risk,36
100010,10000,36 months,29.12,419.71,G,G4,2 years,OWN,28338.64,credit_card,CA,13.97,0,1,21,0,93.6,31,2023,9,Charged Off,1,Moderate (10-20%),Low (<40k),0.353,High Risk,36
100011,12000,60 months,7.46,240.23,A,A2,3 years,RENT,92579.89,debt_consolidation,WI,7.04,0,1,9,0,72.1,15,2020,6,Fully Paid,0,Low (<10%),Upper-Middle (70-100k),0.13,Low Risk,60
100012,15000,60 months,30.57,490.57,G,G3,4 years,RENT,185440.61,credit_card,FL,19.7,3,1,4,0,4.4,20,2022,5,Late (31-120 days),1,Moderate (10-20%),High (100k+),0.081,High Risk,60
100013,15000,60 months,25.21,442.12,F,F1,4 years,RENT,56511.22,debt_consolidation,NY,3.01,0,1,19,0,93.6,28,2023,2,Charged Off,1,Low (<10%),Lower-Middle (40-70k),0.265,High Risk,60
100014,18000,36 months,11.63,594.68,B,B2,6 years,MORTGAGE,35187.51,debt_consolidation,WA,11.74,0,2,8,0,79.8,11,2021,12,Current,0,Moderate (10-20%),Low (<40k),0.512,Low Risk,36
100015,15000,36 months,13.4,508.3,C,C3,5 years,RENT,100901.7,debt_consolidation,MA,23.63,0,2,23,0,12.7,33,2019,4,Charged Off,1,High (20-30%),High (100k+),0.149,Medium Risk,36
100016,18000,60 months,10.91,390.56,B,B3,Unknown,MORTGAGE,21778.66,debt_consolidation,IL,31.81,0,3,22,0,68.8,30,2019,9,Fully Paid,0,Very High (30%+),Low (<40k),0.826,Low Risk,60
100017,12000,36 months,17.55,431.12,D,D5,6 years,RENT,58918.15,credit_card,MD,17.43,0,0,6,2,9.2,19,2019,10,Fully Paid,0,Moderate (10-20%),Lower-Middle (40-70k),0.204,Medium Risk,36
100018,12000,36 months,12.52,401.56,C,C4,9 years,MORTGAGE,108486.44,credit_card,CA,1.81,0,1,6,0,16.3,18,2023,8,Fully Paid,0,Low (<10%),High (100k+),0.111,Medium Risk,36
100019,12000,36 months,17.57,431.24,D,D3,2 years,MORTGAGE,98269.47,home_improvement,NJ,37.66,0,0,13,0,21.5,25,2022,10,Fully Paid,0,Very High (30%+),Upper-Middle (70-100k),0.122,Medium Risk,36
100020,12000,36 months,16.04,422.12,D,D2,Unknown,MORTGAGE,68750.96,debt_consolidation,MI,1.57,0,2,6,0,56.9,14,2022,7,Fully Paid,0,Low (<10%),Lower-Middle (40-70k),0.175,Medium Risk,36
100021,18000,60 months,23.95,517.3,F,F5,< 1 year,MORTGAGE,49873.68,credit_card,WA,9.53,1,2,20,0,5.3,36,2022,4,Late (31-120 days),1,Low (<10%),Lower-Middle (40-70k),0.361,High Risk,60
100022,15000,36 months,12.28,500.22,C,C5,9 years,RENT,46436.22,credit_card,IL,37.24,2,1,4,0,70.6,14,2023,8,Current,0,Very High (30%+),Lower-Middle (40-70k),0.323,Medium Risk,36
100023,7500,36 months,8.68,237.38,A,A2,7 years,RENT,60608.57,debt_consolidation,WI,9.33,0,0,18,0,98.6,24,2022,11,Charged Off,1,Low (<10%),Lower-Middle (40-70k),0.124,Low Risk,36
100024,12000,36 months,9.33,383.44,B,B3,8 years,MORTGAGE,39852.72,home_improvement,IN,4.75,0,4,2,0,43.6,7,2019,5,Fully Paid,0,Low (<10%),Low (<40k),0.301,Low Risk,36
100025,18000,36 months,28.01,744.64,G,G5,< 1 year,MORTGAGE,53014.04,credit_card,NY,6.65,1,3,17,0,28.1,27,2020,12,Charged Off,1,Low (<10%),Lower-Middle (40-70k),0.34,High Risk,36
100026,10000,36 months,12.69,335.45,C,C2,8 years,RENT,46839.5,small_business,TN,1.29,1,0,14,0,7.6,27,2019,2,Current,0,Low (<10%),Lower-Middle (40-70k),0.213,Medium Risk,36
100027,10000,60 months,12.08,222.85,C,C5,< 1 year,RENT,25666.63,major_purchase,IN,39.49,0,0,14,0,46.9,14,2023,5,Current,0,Very High (30%+),Low (<40k),0.39,Medium Risk,60
100028,18000,60 months,29.34,575.09,G,G5,< 1 year,OWN,29500.87,home_improvement,CA,8.2,0,0,18,0,61.8,25,2022,11,Charged Off,1,Low (<10%),Low (<40k),0.61,High Risk,60
100029,15000,60 months,10.66,323.6,B,B1,6 years,MORTGAGE,40669.92,home_improvement,TX,16.14,0,4,12,0,90.3,30,2022,3,Charged Off,1,Moderate (10-20%),Lower-Middle (40-70k),0.369,Low Risk,60
100030,12000,60 months,25.19,353.55,F,F4,3 years,MORTGAGE,59816.3,medical,IN,27.91,0,0,21,0,98.0,25,2019,9,Fully Paid,0,High (20-30%),Lower-Middle (40-70k),0.201,High Risk,60
